key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
pdf-creator.node.barcode.display-name,Barcode,FALSE,Barcode,FALSE,Barcode,FALSE,Viivakoodi,FALSE,Streckkod,FALSE,,FALSE,,FALSE,,FALSE
pdf-creator.settings.barcode.barcode-width|text,Barcode Breite,FALSE,Barcode width,FALSE,Barcode width,FALSE,100%,FALSE,Streckkodsbredd,FALSE,,FALSE,,FALSE,,FALSE
pdf-creator.settings.barcode.barcode-width|placeholder,100%,FALSE,100%,FALSE,100%,FALSE,Viivakoodin leveys,FALSE,100%,FALSE,,FALSE,,FALSE,,FALSE
